"","Model","beta","focal","coef","AIC","likeli","RMSE"
"50","grass.forb","T","Trachymene.ornata",7,1922.89459141532,-953.447295707661,1.06329971857346
"51","functional","F","Trachymene.ornata",6,1920.29754262027,-953.148771310136,1.06593232882118
"52","functional","T","Trachymene.ornata",14,1933.18413627072,-951.592068135359,1.07247480723121
"53","families","F","Trachymene.ornata",13,1925.32873676829,-948.664368384145,1.08091162575727
"54","families","T","Trachymene.ornata",39,1954.92493833954,-937.462469169768,1.05403806629214
"55","cluster.all","F","Trachymene.ornata",9,1918.24416368913,-949.122081844567,1.07820692660985
"56","cluster.all","T","Trachymene.ornata",29,1942.92207831693,-941.461039158463,1.07145219130827
"57","full","F","Ursinia.anthemoides",25,921.991671609078,-434.995835804539,1.02615996402478
"58","full","T","Ursinia.anthemoides",77,959.953744982942,-401.976872491471,0.868735791373993
"59","number.indivs","F","Ursinia.anthemoides",2,910.938615182268,-452.469307591134,1.19428467486362
"60","number.indivs","T","Ursinia.anthemoides",3,910.802737101662,-451.401368550831,1.23734283564081
"61","native.exotic","F","Ursinia.anthemoides",3,907.727404801258,-449.863702400629,1.24615479806158
"62","native.exotic","T","Ursinia.anthemoides",6,912.120691380382,-449.060345690191,1.25012856688437
"63","grass.forb","F","Ursinia.anthemoides",3,908.024388110983,-450.012194055492,1.22321694748978
"64","grass.forb","T","Ursinia.anthemoides",6,912.101386161708,-449.050693080854,1.23063596990801
"65","functional","F","Ursinia.anthemoides",5,911.68989758447,-449.844948792235,1.24177018855267
"66","functional","T","Ursinia.anthemoides",11,920.153236826092,-448.076618413046,1.21534739376046
"67","families","F","Ursinia.anthemoides",12,911.333769406144,-442.666884703072,1.12102005291112
"68","families","T","Ursinia.anthemoides",36,939.676338964298,-432.838169482149,1.06652578849812
"69","cluster.all","F","Ursinia.anthemoides",8,909.821745166945,-445.910872583472,1.1299869219506
"70","cluster.all","T","Ursinia.anthemoides",23,918.825773113635,-435.412886556817,1.07672823252509
"71","full","F","Waitzia.acuminata",32,2887.47333974579,-1410.7366698729,1.15688921446992
"72","full","T","Waitzia.acuminata",126,2974.62986722937,-1360.31493361468,1.14599394800907
"73","number.indivs","F","Waitzia.acuminata",3,2877.54952082777,-1434.77476041389,1.31684032793509
"74","number.indivs","T","Waitzia.acuminata",4,2874.80503433553,-1432.40251716777,1.28992828750836
"75","native.exotic","F","Waitzia.acuminata",4,2879.36726007556,-1434.68363003778,1.32230387738905
"76","native.exotic","T","Waitzia.acuminata",7,2871.0506379296,-1427.5253189648,1.27008892485169
"77","grass.forb","F","Waitzia.acuminata",4,2879.50067047106,-1434.75033523553,1.31222518224448
"78","grass.forb","T","Waitzia.acuminata",7,2876.50325209172,-1430.25162604586,1.29308845068055
"79","functional","F","Waitzia.acuminata",6,2880.18072704256,-1433.09036352128,1.30995400486287
"80","functional","T","Waitzia.acuminata",15,2883.36792057142,-1425.68396028571,1.25548993895063
"81","families","F","Waitzia.acuminata",16,2884.09377593302,-1425.04688796651,1.23058975640432
"82","families","T","Waitzia.acuminata",42,2909.2624445947,-1411.63122229735,1.24382841850564
"83","cluster.all","F","Waitzia.acuminata",9,2885.11439369218,-1432.55719684609,1.30240861643694
"84","cluster.all","T","Waitzia.acuminata",32,2896.75103713374,-1415.37551856687,1.22960942500895
