"Model","beta","focal","coef","AIC","train.RMSE","predict.RMSE","BIC","fold","likeli"
"Spain","T","SASO",14,775.013587838965,1.091757453471,2.08114610575059,822.050564394719,2,-372.506793919483
"Spain","F","SASO",5,792.970826706469,1.39560963443369,4.73721472617053,811.925158501756,3,-390.485413353235
"Spain","T","SASO",14,685.089344159751,0.948545206651384,4.70366057306213,732.475173647969,3,-327.544672079875
"Spain","F","SASO",5,824.876361910686,1.43775630357413,4.63539142431964,843.691152532988,4,-406.438180955343
"Spain","T","SASO",14,719.075592743824,1.00201363105166,4.38014583618839,766.112569299578,4,-344.537796371912
"Spain","F","SASO",5,835.571039415193,1.45089007748433,1.90566489465573,854.593943385422,5,-411.785519707596
"Spain","T","SASO",13,726.641710940801,0.984787077472892,1.97297361994314,771.028486871335,5,-349.3208554704
"Spain","F","SCLA",9,236.670232107715,1.02283823617735,0.441845754683796,249.628600767758,1,-108.335116053857
"Spain","T","SCLA",23,256.44786413419,0.98302957141592,0.535471561377098,287.547948918294,1,-104.223932067095
"Spain","F","SCLA",9,228.927351581221,1.01654614035197,0.506231753151956,241.508316961435,2,-104.46367579061
"Spain","T","SCLA",22,245.695219609806,0.973305045713169,0.50133490454741,274.6314399843,2,-99.847609804903
"Spain","F","SCLA",9,190.792688963206,1.03685365877989,0.460918739805715,201.703113496789,3,-85.396344481603
"Spain","T","SCLA",23,207.549611274362,0.881828443390876,0.837827069816939,233.734630154961,3,-79.7748056371808
"Spain","F","SCLA",7,226.75884019115,1.0268807011299,0.48617582376882,236.823612495322,4,-105.379420095575
"Spain","T","SCLA",19,241.665123439422,0.995685103042578,0.857862450027853,266.827054199852,4,-100.832561719711
"Spain","F","SCLA",9,230.530730633354,1.0076549012719,0.626064674651453,243.489099293397,5,-105.265365316677
"Spain","T","SCLA",22,248.325386392474,0.954263358987546,0.789853651577106,278.129634310574,5,-101.162693196237
"Australia","F","Aira.caryophylla",16,754.353494054415,1.14714461479518,1.01082124068236,792.577913169254,1,-360.176747027207
"Australia","T","Aira.caryophylla",66,780.236440107876,0.958514650479518,4.92251311727859,930.885621325183,1,-323.118220053938
"Australia","F","Aira.caryophylla",16,798.239570899426,1.1083890800732,0.693833736328473,837.408677483897,2,-382.119785449713
"Australia","T","Aira.caryophylla",68,834.858360517632,0.9572840189562,2.13276560767818,993.83885194872,2,-348.429180258816
"Australia","F","Aira.caryophylla",16,779.826651910917,1.14031461092985,1.13752786228466,818.76446241044,3,-372.913325955459
"Australia","T","Aira.caryophylla",67,820.438292092171,0.994408199828865,33.5875293452035,976.189534090262,3,-342.219146046086
"Australia","F","Aira.caryophylla",16,833.0061705517,1.10498845371031,1.17746988836523,873.711806181132,4,-399.50308527585
"Australia","T","Aira.caryophylla",72,898.631551374849,1.03519508022098,9.73995887659453,1073.42633966594,4,-376.315775687424
"Australia","F","Aira.caryophylla",16,790.242348660302,1.09109142807526,1.05595714305971,829.411455244773,5,-378.121174330151
"Australia","T","Aira.caryophylla",69,834.159720016469,0.90838068612769,27.6062600230185,995.444276540761,5,-347.079860008235
"Australia","F","Hypochaeris.glabra",20,1797.48182567635,0.980811707596313,1.08622511082187,1858.33646147531,1,-877.740912838173
"Australia","T","Hypochaeris.glabra",105,1851.30198362085,0.870259066920055,61.1252825708206,2158.47300241565,1,-819.650991810425
"Australia","F","Hypochaeris.glabra",20,1820.98051908828,1.02457313214193,1.2182374738623,1882.14627168874,2,-889.490259544142
"Australia","T","Hypochaeris.glabra",107,1853.18343414292,0.892860343635179,342.246106913135,2167.75016180241,2,-818.59171707146
"Australia","F","Hypochaeris.glabra",20,1826.04155100889,0.9835606658217,1.14365101968068,1887.20730360935,3,-892.020775504447
"Australia","T","Hypochaeris.glabra",102,1876.65760210478,0.871521344630355,3927.8081273631,2176.66105533559,3,-835.32880105239
"Australia","F","Hypochaeris.glabra",20,1836.39742672145,1.00543648593711,1.10314218462759,1897.56317932191,4,-897.198713360724
